 VDS(V)  ID(V), VG = 2.0  VDS(V)  ID(V), VG = 4.0  VDS(V)  ID(V), VG = 6.0  VDS(V)  ID(V), VG = 8.0  VDS(V)  ID(V), VG = 10.0  VDS(V)  ID(V), VG = 12.0
    7.2         0.000032     7.2         0.000089     7.2         0.000173     7.2         0.000275     7.2          0.000377     7.2          0.000479
    7.3         0.000032     7.3         0.000089     7.3         0.000173     7.3         0.000277     7.3          0.000380     7.3          0.000483
    7.4         0.000032     7.4         0.000089     7.4         0.000173     7.4         0.000278     7.4          0.000382     7.4          0.000487
    7.5         0.000032     7.5         0.000089     7.5         0.000173     7.5         0.000279     7.5          0.000385     7.5          0.000491
    7.6         0.000032     7.6         0.000089     7.6         0.000173     7.6         0.000280     7.6          0.000387     7.6          0.000495
    7.7         0.000032     7.7         0.000089     7.7         0.000173     7.7         0.000281     7.7          0.000390     7.7          0.000499
    7.8         0.000032     7.8         0.000089     7.8         0.000173     7.8         0.000282     7.8          0.000392     7.8          0.000503
    7.9         0.000032     7.9         0.000089     7.9         0.000173     7.9         0.000282     7.9          0.000394     7.9          0.000506
    8.0         0.000032     8.0         0.000089     8.0         0.000173     8.0         0.000283     8.0          0.000396     8.0          0.000510
    8.1         0.000032     8.1         0.000089     8.1         0.000173     8.1         0.000284     8.1          0.000399     8.1          0.000513
    8.2         0.000032     8.2         0.000089     8.2         0.000173     8.2         0.000284     8.2          0.000401     8.2          0.000517
    8.3         0.000032     8.3         0.000089     8.3         0.000173     8.3         0.000285     8.3          0.000403     8.3          0.000520
    8.4         0.000032     8.4         0.000089     8.4         0.000173     8.4         0.000285     8.4          0.000404     8.4          0.000523
    8.5         0.000032     8.5         0.000089     8.5         0.000173     8.5         0.000286     8.5          0.000406     8.5          0.000527
    8.6         0.000032     8.6         0.000089     8.6         0.000173     8.6         0.000286     8.6          0.000408     8.6          0.000530
    8.7         0.000032     8.7         0.000089     8.7         0.000173     8.7         0.000286     8.7          0.000410     8.7          0.000533
    8.8         0.000032     8.8         0.000089     8.8         0.000173     8.8         0.000287     8.8          0.000411     8.8          0.000536
    8.9         0.000032     8.9         0.000089     8.9         0.000173     8.9         0.000287     8.9          0.000413     8.9          0.000539
    9.0         0.000032     9.0         0.000089     9.0         0.000173     9.0         0.000287     9.0          0.000414     9.0          0.000542
    9.1         0.000032     9.1         0.000089     9.1         0.000173     9.1         0.000287     9.1          0.000416     9.1          0.000544
    9.2         0.000032     9.2         0.000089     9.2         0.000173     9.2         0.000287     9.2          0.000417     9.2          0.000547
    9.3         0.000032     9.3         0.000089     9.3         0.000173     9.3         0.000287     9.3          0.000418     9.3          0.000550
    9.4         0.000032     9.4         0.000089     9.4         0.000173     9.4         0.000287     9.4          0.000419     9.4          0.000552
    9.5         0.000032     9.5         0.000089     9.5         0.000173     9.5         0.000287     9.5          0.000420     9.5          0.000555
    9.6         0.000032     9.6         0.000089     9.6         0.000173     9.6         0.000287     9.6          0.000421     9.6          0.000557
    9.7         0.000032     9.7         0.000089     9.7         0.000173     9.7         0.000287     9.7          0.000422     9.7          0.000560
    9.8         0.000032     9.8         0.000089     9.8         0.000173     9.8         0.000287     9.8          0.000423     9.8          0.000562
    9.9         0.000032     9.9         0.000089     9.9         0.000173     9.9         0.000287     9.9          0.000424     9.9          0.000564
